X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,Y
-113.59882,121.57067,-19.162262,42.36394,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970945,-8.32606,8.802088,-3.6699412,5.744676,-5.162783,0.7517066,-1.687854,-0.4087299,-2.3026767,1.2224672,-3.5328746,-1.1397805,-4.282828,-4.2260838,0.91518754,0.9140638,-5.761807,-3.9328036,1.5094346,2.6984656,5.656073,-3.269008,-0.20606385,-2.9996982,4.476317,-0.47685504,6.006285,-0.05969034,-3.4585848,-1.8418322,blues
-207.52383,123.98514,8.94702,35.86715,2.9095943,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.2344916,4.220704,-6.010687,0.92929417,-0.728403,0.29687235,-0.28243035,0.5306445,-4.0987844,-1.2431856,-2.851357,-4.3501954,3.2750847,1.2195734,-0.013765517,-0.066608235,3.979033,-0.45776725,0.83601886,-3.7432172,-4.0997047,-2.4519057,5.834808,3.5449877,4.89732,-0.41559693,-1.9954144,-0.4652179,blues
-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901967,-1.0801603,-9.226245,2.4483044,-7.7248397,-1.819024,-3.4404576,-2.2381277,-4.052338,-0.5714225,-2.0118372,-5.386335,-5.1335306,-7.805535,-1.1687835,-0.20596698,1.3964347,-3.00188,-1.3764814,-4.7496324,-0.37751576,0.49346918,0.44727063,-4.162672,-4.815749,-6.7032337,-4.4253335,-0.98151934,blues
-199.57513,150.0861,5.663404,26.855278,1.770071,14.232647,-4.8278446,9.286853,-0.75612015,8.134435,-3.200026,6.0780816,-2.478445,-1.081587,-2.8744543,0.773994,-3.3240688,0.6363107,-0.6159676,-3.405046,-1.4968088,-0.054011654,-1.8613145,-4.709931,-3.9263315,-6.64948,-2.8977783,-3.2251306,-0.27231488,-3.8175535,-2.8219492,-4.2044272,-2.7023358,-3.8456037,-2.5244095,-4.93561,-5.954977,-6.616996,-6.396001,-1.5011888,blues
-160.35417,126.20948,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324897,-11.796538,1.2035192,-13.084959,-2.8104992,-6.9344707,-7.5538754,-9.167669,-4.5158625,-5.451786,-0.9159524,-4.4080176,-11.704385,-5.866304,-0.721432,0.95571446,-1.2184657,4.58054,0.30164942,-1.2800436,-4.4865327,-0.41062188,0.2792642,8.481702,3.646146,-3.0076735,-6.110803,-6.9519696,-4.0705533,-1.1372156,-0.4916048,-4.786619,-3.2211275,blues
-177.80176,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.4087636,-9.348446,-9.942636,-3.9021835,-5.574562,-1.8393143,-2.7893167,-3.047805,-8.109732,-2.4683328,-1.7097126,-4.2748,-4.638067,-2.3258955,0.9291905,4.380316,5.1934037,5.691942,2.533288,2.618916,-4.3523993,-6.8065543,-2.9144077,-1.060713,1.9090167,1.0149453,-3.1143415,-5.300716,-5.259621,blues
-190.0688,130.27023,-36.362114,33.036217,11.093892,-0.59188193,-20.890266,0.27844235,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,-9.949999,-6.5426884,-10.072228,-10.918623,-6.9652433,-3.439432,-6.484499,-7.109118,-7.1270666,-5.2788844,-4.594155,-3.2485366,-2.902407,1.4326024,2.9310665,2.11799,-1.4838629,-0.63566726,2.9653616,2.610367,1.7908589,-1.9822515,-5.1708612,-2.3732464,0.14038283,3.7044878,5.2581644,blues
-179.3723,136.44833,-26.662588,39.96545,5.3108935,10.919133,-20.559534,8.503361,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427,-8.051759,-8.964917,-8.427482,-10.5642805,-10.785659,-4.6954694,-8.631641,-11.013335,-10.376792,-1.843774,-1.445948,-3.1292248,-1.1877846,-3.6127696,-3.2484038,-0.63257986,0.89647967,4.022117,2.7066686,-0.1668088,-2.5277653,-3.4568138,-2.8802347,0.7377763,-1.9461105,-4.8756294,-3.2393322,blues
-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,5.0585384,-5.1858063,-1.453604,-7.042629,2.694213,3.4095309,-2.7137442,-4.271836,-0.6242571,-4.291122,-13.373034,-8.269029,-2.0969207,10.555008,2.9229867,-1.035578,-0.7515336,-0.5030914,-1.4110123,-1.886272,-1.8116941,2.3668487,-4.3018703,-3.882687,-5.0936933,0.50897497,1.1860472,blues
-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263557,-5.1068816,-0.41015333,-1.1793449,-1.914708,-2.2936609,2.8842604,-4.2338796,1.5943897,2.4687598,-0.8987777,1.8610442,5.0366416,0.7700354,5.6383834,0.4404487,-0.90267456,-2.202855,-1.8906778,-3.458123,-0.97014093,1.5458179,3.1887379,4.5513167,1.9031553,-0.68681544,-2.7414927,-0.059063055,blues
-173.81046,137.17355,-23.72303,26.979677,-16.67521,4.1947303,-12.571788,5.851669,-2.8769505,-1.178381,-1.9682404,1.8011796,-3.0069504,-1.8669492,-0.7912434,-3.0062358,-0.43072948,-1.9965144,-0.750104,-5.0069656,-1.8180923,0.81014603,2.505248,-1.6428747,-3.3367789,-0.14087574,4.4892826,8.856526,9.321395,1.2949806,-1.8138595,-6.4791427,-3.8715281,1.7992786,-3.1962483,-5.853443,-6.7214494,-1.433683,3.279423,1.2398112,blues
-287.9319,124.01078,5.4674478,33.66307,1.091654,14.703699,-4.8811417,8.668892,0.7843316,6.57608,-4.875816,-3.1767612,-5.538258,-6.779149,-2.6465135,-2.9903204,-3.3829944,-1.8589838,1.8391857,-4.8913555,-5.5366764,-3.6112394,-2.0613203,-6.509808,-6.871236,-2.7818952,1.6405017,-1.8866963,-4.6768107,-3.332531,-2.253273,-1.9183099,-1.8669318,-1.3511275,-2.9252892,-2.6896744,-1.29857,-1.4034742,-1.2837461,0.8156746,blues
-207.2383,132.82741,-15.45408,60.980972,0.71902615,12.4613285,1.1633853,-1.5329196,-17.895847,8.360363,-2.459651,-0.58463913,0.3722645,2.5984128,-5.186428,-9.530309,-9.2374735,-2.8471038,-1.4193836,-5.9333534,7.767243,4.0876474,4.05793,3.6490533,6.00377,0.42371088,2.0495706,1.4338622,6.502817,9.650159,6.680248,0.18571639,-2.3584752,-1.0697441,-0.26152712,4.1261997,0.788791,0.5356412,0.94119835,3.3003025,blues
-209.80392,124.46476,10.309394,47.016357,6.478226,15.41512,-2.0159416,6.7262187,-21.543222,10.720836,-5.5328465,-2.1957276,-3.0491858,8.643512,-0.30701312,-0.63291776,-2.9335592,-1.7062991,-1.7673149,-7.755139,3.4195647,3.5794141,2.81317,-0.634043,3.5638633,-5.524269,0.750867,5.15997,8.5307455,5.9562635,7.44354,1.6496032,-0.5438528,2.1704037,3.7535546,2.5672157,0.38704827,-0.09665727,-1.5357484,1.3135753,blues
-305.66437,113.07102,12.107334,45.052197,17.734386,14.590071,4.147996,0.22631137,-7.021587,13.646477,8.91421,1.3037988,5.9549785,8.547473,1.119622,0.5982413,0.060842562,-3.7137513,-0.9935343,-1.8043832,4.9606986,4.335031,3.4170098,1.2741938,2.875421,2.228457,3.4693353,6.0261836,7.7702293,9.802872,8.95339,3.793344,-1.936009,-0.68857175,1.9562247,2.851596,-0.05237862,-0.79402393,-2.332264,1.6225644,blues
-238.51962,120.10219,-4.2219477,42.294594,5.923822,13.911398,5.350524,1.8952675,-16.928087,12.343145,3.9388995,-1.3966829,0.013027784,3.585257,-4.500639,-5.539846,-6.8845096,-4.824554,1.7439977,-1.8783103,6.8886385,5.3057194,5.537906,0.5440274,1.8469826,-0.08214079,4.235516,4.3461466,5.972626,6.7789073,4.517948,1.384199,-0.052774925,-0.6148569,-2.3416564,1.899588,-0.57299495,-1.721128,-1.4194747,2.1596074,blues
-233.77281,120.66434,-3.1640923,39.514828,3.8315241,18.828156,-3.678738,4.4254684,-14.964929,17.571478,1.8461249,2.5500884,-1.230239,8.437056,-0.20024775,-3.8908293,-4.4561353,0.011000738,1.294804,-2.0984619,6.7892632,0.5853053,1.6381477,-0.7314888,3.0726047,-1.9939363,3.6389747,3.613337,3.6253002,0.67103803,5.3867164,8.283115,8.566068,5.548951,0.6470086,-2.0124927,-0.7884425,3.9996028,0.49969488,-0.89294577,blues
-245.68724,140.48125,-2.7912183,60.404514,18.903513,9.828394,3.563824,0.52286243,-16.378489,6.6293535,7.2584243,-4.021235,1.6011248,5.8965745,-3.0172145,-4.775693,-3.0362883,-1.9979147,-0.049571756,-3.9618294,-0.39036056,1.9787873,0.46754524,-1.8194243,2.7958221,0.63500863,1.4149066,4.8250365,3.6250064,2.674999,4.7974286,6.652522,7.7428875,6.783785,0.3391586,-1.7995279,0.13129215,2.411912,2.5563343,0.10668185,blues
-252.48178,104.94516,15.296445,42.68784,6.770452,21.611765,-1.3111783,5.6817455,-16.636873,12.16935,-1.9619533,1.9602653,-0.89822775,7.7623606,2.3758616,1.7791145,1.3305403,3.6150515,4.9065995,-2.6610513,4.108048,2.2107766,2.5487442,-1.6179949,2.8880687,-3.0624762,0.24144319,0.5599197,4.814172,3.662896,3.5393846,0.7391994,1.6082972,3.346762,2.3809478,3.213437,0.05895687,-1.4272226,-0.56407714,2.4639738,blues
-236.67947,138.4056,-4.9304795,47.6545,5.1578503,8.887806,0.48740572,-3.788342,-14.984864,10.428946,-0.34138435,0.7833589,1.7809838,4.22956,-0.47476938,-6.104543,-5.394643,-1.3449988,-3.7254624,-4.37371,4.5424595,0.07431991,5.442293,3.7088485,1.9625508,0.33865124,4.96369,2.3795106,0.43545878,1.8166516,5.914307,10.841658,8.701644,5.5548515,2.368144,-0.42195618,-2.1511402,1.4968754,-0.9567267,-1.8855915,blues
-230.36378,127.07773,7.114696,39.767056,1.9217218,17.410606,-5.626918,8.2406645,-18.116043,13.844725,-3.7571108,2.579849,-4.3167143,6.797995,-6.1670146,-6.2006335,-4.5018964,-1.8255954,-0.5159101,1.5071843,8.99447,4.414147,6.2053766,-1.6326698,-0.39314437,-3.0037677,1.587629,0.16816217,4.99297,0.5634801,1.4701095,3.0915086,6.6852374,6.4862194,4.51936,-0.78402925,-2.265273,-0.41921127,-2.6120565,-0.8502432,blues
