X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
-427.2414,81.9126,0.2586548,61.563244,13.178145,23.547703,-1.4016815,5.193775,-9.361479,5.11347,-2.1295223,4.4711947,-2.4453418,blues
-522.9834,83.69774,35.988102,35.96786,3.4545672,33.71943,13.544955,15.552618,-5.2621784,8.856483,-12.450244,-4.9961104,-5.616083,blues
-368.0459,107.14117,-26.212852,29.180758,1.1316901,22.039978,-4.758723,17.307938,-5.349776,13.197187,-9.693913,6.079038,-13.076759,blues
-458.81894,98.51716,25.160934,16.603796,0.5719841,13.206367,-4.8113136,3.2294137,1.1008308,3.6974785,-4.964013,6.2362056,1.8957119,blues
-492.03113,103.95826,-9.169872,22.129498,-20.352997,-16.360926,-25.318632,-11.314994,-2.4460943,-4.529506,-5.2967,-2.5375466,-14.478805,blues
-426.16656,74.64127,-24.037619,21.630714,-25.933784,8.437818,-21.160097,-0.006210575,-11.582882,-2.4759502,-15.77283,-7.534683,-13.761657,blues
-488.5844,87.48169,-10.014794,45.334812,34.406796,0.019832602,-24.169178,1.1269928,-2.4461095,-0.92407936,-7.143152,-7.8335476,-6.1303196,blues
-461.62283,104.99441,0.116765685,56.002174,19.342285,7.023215,-22.616762,1.1429127,-15.044404,-10.481154,-18.686777,-11.054384,-4.7603707,blues
-438.73898,101.6308,-4.14078,30.479284,12.5732975,6.732983,-1.2870784,24.766817,-3.6488082,9.1296015,-3.0784647,4.4300046,-9.228843,blues
-516.4267,72.45544,11.758309,31.960974,-3.055481,8.00571,1.9595897,10.168705,-3.6253335,3.5809662,-0.12383051,-3.47249,0.59326303,blues
-443.05273,97.51477,4.293422,30.104403,-5.286679,8.425054,-5.9497924,-1.3344017,-7.5491076,-4.3625555,-0.8118539,-0.7423074,-7.627956,blues
-530.65344,72.3031,13.19002,27.207754,4.093389,13.822318,5.2816844,11.295346,6.182237,6.3360343,-3.114626,-6.404892,-6.3237042,blues
-506.57443,89.1179,8.523752,75.5905,26.761875,2.3156264,-21.93765,-11.432583,-4.453721,5.6724358,5.5555253,-1.2309864,-7.6178083,blues
-495.75638,87.27495,21.151781,33.17034,3.3254158,-4.2285237,-2.5009925,-3.550955,-28.397621,-6.9810615,-10.398329,-0.43585393,-3.1176445,blues
-584.89984,60.226025,1.6038325,33.966007,13.564317,12.947687,-1.3064567,2.3340266,-3.053411,15.103082,8.537889,9.005231,11.421387,blues
-569.45715,108.119705,23.837732,36.979733,14.74309,21.124786,1.8660548,-9.866714,-3.3496199,-0.6116726,-7.6751485,-2.2226949,0.47932047,blues
-539.3126,67.95533,9.292056,30.40489,4.1809897,8.797796,-1.7095901,-0.9644495,-14.039181,4.8629303,-4.6361423,-1.3283818,-2.0341556,blues
-527.96014,85.63808,17.006762,47.28305,23.326015,9.766357,-0.23670605,-6.4645114,-17.190012,-1.4775488,9.110074,3.1913688,2.391827,blues
-536.2689,74.711815,23.984865,22.06738,3.364955,1.8647155,0.4457902,-6.571113,-9.29355,-2.106997,-2.6526492,-0.37377867,5.3472,blues
-523.86536,116.45878,34.27999,32.68629,-20.930185,6.34274,3.5272915,-12.499561,-4.9984684,6.119259,-7.3795414,13.095201,15.2260895,blues
-573.01276,96.989784,42.007324,30.936346,4.584035,9.839802,6.1236663,9.989187,-13.511474,10.0204115,1.3211353,13.054242,-1.4904736,blues
-567.5897,91.77537,44.949986,55.499504,25.587038,13.852617,-1.2267257,-3.3202085,-2.9081619,4.655611,-3.4191854,-3.6345375,2.713638,blues
-498.07953,98.40998,9.265253,45.930958,10.192784,6.513826,-5.3445215,-10.16349,-17.39376,11.226974,-0.49126664,-4.54058,4.7819796,blues
-506.23355,85.952965,-9.6741,47.975403,3.5694053,6.744381,2.835849,1.4875023,1.3786763,-5.528761,-9.103148,-9.855667,-4.1753325,blues
-597.86066,81.336006,43.878754,65.54863,18.51546,15.683919,9.467288,-5.09885,3.674026,-6.9265585,-11.260309,2.295583,0.8104672,blues
-542.1787,73.45594,22.442429,50.68774,7.3193955,0.2842452,11.002639,8.797574,2.5622447,-11.043471,-5.8055377,0.9932653,-1.388277,blues
-537.4044,68.70682,15.824035,37.505898,1.4719293,-3.8287897,-3.9214482,-3.058437,-4.6671968,-10.512951,-4.3399296,-0.7891071,0.44283512,blues
-500.17593,79.458916,-16.060753,47.14695,11.468064,-3.067055,-0.6104841,3.8399632,-5.58769,-11.285733,-1.2317917,-6.9278083,-6.970016,blues
-594.32623,89.07943,44.41587,76.92321,29.980345,16.594662,13.645779,-6.8089576,-4.6439557,-9.02796,-14.4372225,-0.8629582,-1.7046391,blues
-500.85696,70.80584,22.602623,25.262646,10.825314,18.430548,6.8178773,14.738274,-10.954406,0.73482674,-2.2562273,-4.10847,-4.9175415,blues
-461.69232,84.0357,40.96251,41.166973,10.880989,21.318283,-4.598203,14.774623,-4.432161,7.483902,-16.008545,-9.47586,-14.532354,blues
-496.843,74.87537,32.109802,39.675457,19.813936,21.701895,2.6364193,13.031531,-13.655132,2.8540757,-9.761932,-10.933849,-12.111631,blues
-570.6981,37.069405,16.0073,31.292784,22.018383,23.022486,-4.2250433,8.099124,-3.3279984,0.25648636,-9.274345,-10.702825,-13.817746,blues
-504.2004,83.410576,37.172062,33.921124,22.100662,24.473505,-11.369327,9.76032,-16.303064,-5.054854,-15.354614,-8.805698,-5.079654,blues
-503.65796,67.42446,30.424002,38.43644,16.333103,24.463387,-5.611765,16.982843,-15.576715,-3.426959,-16.111773,-1.7250924,-2.565613,blues
-479.82358,78.3733,19.34422,34.771732,24.459862,22.644707,4.734797,16.572025,-16.027306,-5.2475038,-12.424687,0.24380359,-6.4799266,blues
-469.92874,76.04294,26.732548,34.305847,12.299536,17.12024,-11.913127,14.706752,-16.341862,-6.11314,-15.870435,-16.81815,-16.83369,blues
-575.3544,60.919712,25.05442,33.77117,15.840723,21.786213,-5.2967124,12.170636,-6.217305,2.2809467,-9.834268,-7.798038,-10.742933,blues
-476.33624,63.9229,35.502804,38.66051,9.945106,21.602596,-9.714943,12.7764435,-1.6524729,-4.9079056,-29.34332,-8.889864,-6.6215463,blues
-517.5141,68.82415,18.76918,20.395094,12.127176,23.423443,1.465016,9.876034,-7.636155,-2.5259838,-10.6168585,-4.166721,-5.8249183,blues
-436.85904,52.021564,30.854631,96.73985,14.187177,47.414288,-1.2735529,25.005583,-17.749895,-24.607155,-40.870487,2.7471442,-8.267728,blues
-432.67276,64.63686,21.39895,64.523056,9.200003,27.727554,-4.691744,43.10324,-3.3629467,-5.9659095,-23.254103,7.2754345,-8.755841,blues
-477.75125,62.1457,9.785747,61.955154,4.860037,40.826004,21.28666,18.65822,-7.235115,7.905933,0.72745955,10.0634365,-1.1175154,blues
-482.8754,68.75818,56.975758,64.92409,16.758362,45.06665,-3.5640392,27.686537,-4.2991138,4.103273,-24.537395,1.5771879,-10.07123,blues
-383.9442,53.80898,-15.760202,60.4464,18.205603,55.754086,11.891661,36.881714,-3.1001422,3.1654723,-22.276134,2.3373058,-1.3599173,blues
-416.89172,72.845276,10.99633,74.3954,13.24999,32.217175,6.002047,17.413855,-6.8906045,-3.284162,-15.199196,1.5505923,1.6093498,blues
-461.75034,89.559746,8.6665945,47.676105,16.535444,20.869268,-4.150248,14.400525,-15.399488,2.6755412,-15.764906,-0.08617527,1.5264212,blues
-426.94812,81.626236,7.2745113,63.802784,0.764446,28.590698,-1.1540636,7.006462,-12.465029,-5.199238,-16.58293,0.6931479,-12.100138,blues
-445.3954,74.73026,13.66299,69.852684,7.6977353,27.446472,-7.925339,30.014452,12.550682,-3.9132326,-27.296124,5.031093,-14.22141,blues
-549.0483,90.16303,31.655102,52.675682,11.356982,32.27581,7.118541,0.17073606,0.25930718,4.9808865,-8.802706,-0.63930935,-6.51543,blues
-358.59125,96.69652,-27.494928,41.316734,10.704096,28.287941,-3.962533,20.079569,-6.5811996,11.801099,-5.9671392,11.781921,-8.659568,blues
-354.43137,86.79131,-31.432528,60.102215,6.5944495,4.5299807,-2.5633588,6.917468,-1.2350799,24.979794,10.236877,21.255161,-10.360678,blues
